1 3 0	1 -1 0	-2 -1 0	
2.22295329044036 -0.473135849518654 0	0.84450697755073 0.35177473826612 0	-2.72284868977088 -0.0848665356935107 0	
2.21853255281943 -0.468164904076665 0	0.846882587335455 0.348219149356551 0	-2.7225026487861 -0.0841502586380403 0	
2.21406559683433 -0.463168551159228 0	0.849275813272965 0.344647575029977 0	-2.72214396421916 -0.083433055417902 0	
2.20955180421583 -0.458146571052945 0	0.851687026390845 0.341059892316877 0	-2.72177263615265 -0.0827149371062383 0	
2.20499053988285 -0.453098739810743 0	0.854116607770818 0.33745597570928 0	-2.72138866462789 -0.0819959147783918 0	
2.20038115128783 -0.448024829141608 0	0.856564948942093 0.333835697094475 0	-2.72099204964572 -0.0812759995117351 0	
2.19572296772857 -0.442924606297042 0	0.859032452294764 0.330198925686737 0	-2.72058279116712 -0.0805552023854878 0	
2.19101529962463 -0.437797833954095 0	0.86151953151461 0.326545527956996 0	-2.72016088911398 -0.0798335344805193 0	
2.18625743775577 -0.432644270094954 0	0.864026612040556 0.322875367560399 0	-2.71972634336976 -0.0791110068791276 0	
2.18144865246006 -0.427463667882977 0	0.866554131546389 0.319188305261758 0	-2.71927915378026 -0.0783876306648083 0	
2.17658819278915 -0.422255775535117 0	0.869102540448191 0.315484198858797 0	-2.71881932015432 -0.0776634169219994 0	
2.17167528561756 -0.417020336190684 0	0.871672302439322 0.311762903103185 0	-2.71834684226455 -0.0769383767358092 0	
2.16670913470318 -0.411757087776361 0	0.874263895054725 0.308024269619322 0	-2.71786171984803 -0.0762125211917238 0	
2.16168891969551 -0.406465762867468 0	0.876877810266573 0.304268146820841 0	-2.71736395260709 -0.0754858613752931 0	
2.15661379508807 -0.401146088545401 0	0.879514555113412 0.300494379824803 0	-2.71685354021006 -0.0747584083717964 0	
2.1514828891111 -0.395797786251266 0	0.882174652365155 0.296702810363593 0	-2.71633048229202 -0.0740301732658854 0	
2.14629530256021 -0.390420571635677 0	0.884858641226474 0.292893276694495 0	-2.71579477845552 -0.0733011671412039 0	
2.14105010755666 -0.385014154404751 0	0.887567078081277 0.289065613506962 0	-2.71524642827136 -0.0725714010799809 0	
2.13574634623396 -0.379578238162346 0	0.890300537281334 0.285219651827616 0	-2.7146854312794 -0.071840886162604 0	
2.13038302934558 -0.374112520248605 0	0.893059611982253 0.281355218923016 0	-2.71411178698927 -0.0711096334671595 0	
2.124959134788 -0.368616691574926 0	0.895844915030346 0.277472138200245 0	-2.71352549488121 -0.070377654068953 0	
2.11947360603226 -0.363090436455507 0	0.898657079904242 0.273570229105427 0	-2.71292655440679 -0.0696449590399934 0	
2.11392535045755 -0.357533432435651 0	0.901496761715433 0.269649307020282 0	-2.71231496498975 -0.0689115594484535 0	
2.10831323757876 -0.351945350117097 0	0.904364638272334 0.265709183156865 0	-2.71169072602678 -0.0681774663580963 0	
2.1026360971599 -0.346325852980706 0	0.907261411212896 0.26174966445069 0	-2.71105383688834 -0.0674426908276694 0	
2.09689271720418 -0.340674597206879 0	0.910187807211198 0.257770553452473 0	-2.71040429691943 -0.0667072439102666 0	
2.0910818418107 -0.334991231494233 0	0.913144579264104 0.253771648218795 0	-2.70974210544045 -0.0659711366526535 0	
2.08520216888674 -0.329275396877102 0	0.916132508064496 0.24975274220204 0	-2.70906726174797 -0.0652343800945562 0	
2.07925234770374 -0.32352672654263 0	0.919152403468409 0.24571362414004 0	-2.7083797651156 -0.0644969852679091 0	
2.0732309762834 -0.317744845648304 0	0.922205106063973 0.241654077945972 0	-2.70767961479481 -0.063758963196068 0	
2.06713659859954 -0.311929371141011 0	0.925291488851015 0.237573882599121 0	-2.70696681001573 -0.0630203248929741 0	
2.06096770157931 -0.306079911578851 0	0.928412459040965 0.233472812037267 0	-2.70624134998799 -0.0622810813622764 0	
2.05472271188607 -0.300196066957254 0	0.931568959987814 0.229350635051615 0	-2.70550323390165 -0.0615412435964098 0	
2.0483999924641 -0.294277428541156 0	0.934761973261993 0.225207115185324 0	-2.7047524609279 -0.0608008225756189 0	
2.04199783882313 -0.288323578705383 0	0.937992520880286 0.221042010636914 0	-2.70398903022005 -0.0600598292669347 0	
2.0355144750385 -0.282334090785771 0	0.941261667706451 0.216855074170076 0	-2.7032129409143 -0.059318274623095 0	
2.02894804943977 -0.276308528944011 0	0.944570524038731 0.212646053031672 0	-2.70242419213061 -0.0585761695814088 0	
2.02229662995758 -0.270246448049778 0	0.947920248402434 0.208414688880053 0	-2.70162278297358 -0.0578335250625591 0	
2.01555819909501 -0.264147393584336 0	0.951312050567757 0.204160717726215 0	-2.70080871253331 -0.057090351969344 0	
2.00873064848602 -0.258010901570618 0	0.954747194815482 0.199883869890789 0	-2.69998197988622 -0.0563466611853504 0	
2.00181177299833 -0.251836498535661 0	0.958227003475888 0.195583869980381 0	-2.69914258409597 -0.0556024635735569 0	
1.99479926433358 -0.245623701512436 0	0.961752860769353 0.191260436887491 0	-2.69829052421425 -0.0548577699748626 0	
1.98769070407126 -0.239372018089319 0	0.965326216980671 0.18691328381896 0	-2.69742579928165 -0.0541125912065372 0	
1.98048355609627 -0.233080946517113 0	0.968948593003237 0.182542118358876 0	-2.69654840832862 -0.053366938060586 0	
1.97317515834198 -0.226749975885334 0	0.972621585293833 0.178146642572962 0	-2.69565835037615 -0.0526208213020275 0	
1.96576271377178 -0.220378586381717 0	0.976346871284414 0.173726553162833 0	-2.69475562443672 -0.0518742516670787 0	
1.95824328051156 -0.213966249651599 0	0.980126215303288 0.169281541680089 0	-2.69384022951515 -0.0511272398612369 0	
1.95061376103334 -0.207512429277072 0	0.983961475065551 0.164811294812188 0	-2.69291216460931 -0.0503797965572579 0	
1.94287089027653 -0.201016581399706 0	0.987854608801035 0.160315494754377 0	-2.69197142871105 -0.0496319323930192 0	
1.93501122257635 -0.194478155515408 0	0.991807683097858 0.155793819684795 0	-2.69101802080695 -0.0488836579692646 0	
1.92703111725016 -0.187896595475734 0	0.995822881551246 0.151245944363353 0	-2.69005193987906 -0.0481349838472173 0	
1.9189267226697 -0.181271340737033 0	0.999902514320823 0.146671540879205 0	-2.6890731849057 -0.0473859205460577 0	
1.91069395862053 -0.17460182790742 0	1.00404902871551 0.142070279576792 0	-2.68808175486217 -0.0466364785402508 0	
1.90232849671875 -0.167887492652165 0	1.00826502094403 0.137441830196812 0	-2.6870776487215 -0.0458866682567168 0	
1.8938257386178 -0.161127772031175 0	1.01255324919142 0.13278586327631 0	-2.68606086545502 -0.0451365000718316 0	
1.88518079169333 -0.1543221073584 0	1.01691664820853 0.128102051861774 0	-2.68503140403307 -0.0443859843082425 0	
1.87638844184177 -0.147469947693188 0	1.02135834563343 0.123390073601243 0	-2.68398926342552 -0.0436351312314881 0	
1.86744312296362 -0.140570754098717 0	1.02588168030174 0.118649613296493 0	-2.68293444260227 -0.0428839510464031 0	
1.8583388826263 -0.133624004834286 0	1.03049022284937 0.113880366015347 0	-2.68186694053382 -0.0421324538932931 0	
1.84906934330767 -0.126629201688082 0	1.03518779896668 0.109082040888077 0	-2.6807867561915 -0.0413806498438589 0	
1.83962765850817 -0.119585877707657 0	1.03997851573144 0.104254365742214 0	-2.67969388854781 -0.0406285488968476 0	
1.83000646288037 -0.112493606649923 0	1.0448667915312 0.0993970927688214 0	-2.67858833657666 -0.0398761609734078 0	
1.82019781535403 -0.105352014555327 0	1.04985739018837 0.0945100054630351 0	-2.67747009925338 -0.0391234959121212 0	
1.81019313402315 -0.0981607939580181 0	1.05495546002789 0.0895929271458961 0	-2.67633917555464 -0.0383705634636787 0	
1.7999831212982 -0.0909197213831019 0	1.0601665787857 0.0846457314581376 0	-2.6751955644582 -0.0376173732851678 0	
1.78955767749721 -0.0836286789646787 0	1.06549680545378 0.079668355326095 0	-2.67403926494256 -0.0368639349339319 0	
1.77890580063358 -0.0762876812594566 0	1.07095274040688 0.0746608150445819 0	-2.67287027598622 -0.0361102578609565 0	
1.76801546963106 -0.0688969086517574 0	1.07654159547285 0.0696232263141834 0	-2.6716885965668 -0.0353563514037321 0	
1.75687350752153 -0.0614567491769588 0	1.08227127601297 0.0645558293291469 0	-2.67049422565981 -0.034602224778535 0	
1.74546542031235 -0.0539678511751755 0	1.08815047760026 0.0594590203628959 0	-2.66928716223705 -0.033847887072058 0	
1.73377520608088 -0.0464311899879933 0	1.09418880056111 0.0543333917787951 0	-2.66806740526451 -0.0330933472323183 0	
1.72178512737507 -0.038848153020303 0	1.10039688653294 0.0491797830593234 0	-2.66683495369993 -0.032338614058746 0	
1.70947543804417 -0.0312206490434456 0	1.10678658236314 0.0439993463792949 0	-2.6655898064895 -0.0315836961913535 0	
1.69682405301602 -0.0235512498211379 0	1.11337113823958 0.0387936315719161 0	-2.66433196256393 -0.0308286020988603 0	
1.68380614602306 -0.0158433753118672 0	1.12016544905103 0.0335646972397689 0	-2.66306142083352 -0.0300733400656291 0	
1.67039365549662 -0.00810153833277717 0	1.12718635084584 0.0283152575416049 0	-2.6617781801822 -0.0293179181772413 0	
1.65655467226888 -0.000331671441621643 0	1.13445298820472 0.0230488783087221 0	-2.66048223946003 -0.0285623443045042 0	
1.64225267357455 0.00745843083044029 0	1.14198727383247 0.0177702423703981 0	-2.65917359747397 -0.0278066260856452 0	
1.62744555499171 0.0152585052900808 0	1.14981446938427 0.0124855135512137 0	-2.65785225297659 -0.0270507709063948 0	
1.61208439372719 0.0230549747218781 0	1.15796392748309 0.00720284386909531 0	-2.65651820465173 -0.0262947858775945 0	
1.59611185057357 0.0308297492424112 0	1.1664700505313 0.00193309270261101 0	-2.6551714510968 -0.0255386778098887 0	
1.57946008040001 0.0385584930775107 0	1.17537354439811 -0.00330913329839252 0	-2.65381199080011 -0.0247824531849586 0	
1.56204796737052 0.0462080622968333 0	1.18472307726549 -0.00850394287984716 0	-2.65243982211222 -0.0240261181226319 0	
1.54377742560875 0.0537326209125402 0	1.19457749919965 -0.0136238298729308 0	-2.65105494320861 -0.0232696783430571 0	
1.5245284056341 0.0610675839674214 0	1.20500883825029 -0.0186300390819338 0	-2.64965735204093 -0.0225131391229638 0	
1.50415213413301 0.0681198623232454 0	1.21610635653573 -0.0234667131979003 0	-2.64824704627191 -0.0217565052448736 0	
1.48246206530572 0.074751568464986 0	1.22798197936401 -0.0280511163283923 0	-2.64682402318677 -0.0209997809380634 0	
1.45922234389668 0.0807516775049298 0	1.24077721731593 -0.0322566306545283 0	-2.64538827956989 -0.0202429698103508 0	
1.43413542135753 0.085784583862632 0	1.25467059640602 -0.035881890500607 0	-2.64393981152815 -0.0194860747710281 0	
1.40683806992783 0.0892929897634288 0	1.26988004942589 -0.0385925154983922 0	-2.64247861423072 -0.018729097949394 0	
1.37694404170832 0.0903117804426179 0	1.28663732018448 -0.0398094357649029 0	-2.64100468151434 -0.0179720406256467 0	
1.34427462940224 0.0871398583607117 0	1.3050496265781 -0.038511992434885 0	-2.63951800527681 -0.0172149032267395 0	
1.3096858887164 0.0770305657482225 0	1.32460332643896 -0.0330521910199063 0	-2.63801857458848 -0.0164576855360954 0	
1.27672467201543 0.057244958431387 0	1.34317029655776 -0.0217866651049116 0	-2.63650637471125 -0.0157003874422121 0	
1.25089749893846 0.0289452881654365 0	1.35744661031158 -0.00541276455353594 0	-2.6349813870958 -0.0149430104319684 0	
1.23417329231483 -0.0026319911806406 0	1.36625089788888 0.01292764176978 0	-2.63344359159971 -0.0141855588265551 0	
1.22447441872061 -0.033615288278103 0	1.37082972424299 0.030911604459593 0	-2.63189296934668 -0.0134280393657244 0	
1.21931952790548 -0.0627116833105736 0	1.37267188634846 0.0477633779088476 0	-2.63032950386719 -0.0126704599029396 0	
1.21705178253203 -0.0897840837015381 0	1.37277147518915 0.063400712981935 0	-2.62875318088797 -0.0119128284510752 0	
1.21667618525252 -0.115021752411072 0	1.3717254790898 0.0779371736237979 0	-2.62716398780417 -0.0111551527212534 0	
1.21758946429904 -0.138666714394059 0	1.36989585199269 0.0915179805847563 0	-2.62556191321766 -0.0103974399352105 0	
1.21941186188629 -0.160940003238013 0	1.36751044014047 0.104275759352628 0	-2.62394694659281 -0.00963969676208271 0	
1.22189437183957 -0.182027470752169 0	1.36471863929959 0.116322025899181 0	-2.62231907800667 -0.00888192930965774 0	
1.22486751378966 -0.202081857607309 0	1.36162213009723 0.127748429075826 0	-2.62067829796628 -0.00812414313910868 0	
1.22821212494434 -0.221228374566822 0	1.35829240284961 0.138630099371696 0	-2.61902459727277 -0.00736634328931129 0	
1.23184205220404 -0.239570203695764 0	1.35478114221003 0.149028949661107 0	-2.61735796691806 -0.00660853430436816 0	
1.2356935029945 -0.257193074088154 0	1.35112661660546 0.158996420662158 0	-2.61567839800522 -0.00585072026138914 0	
1.23971826315387 -0.274168866660702 0	1.34735774745407 0.168575643834328 0	-2.6139858816855 -0.0050929047971895 0	
1.24387924203125 -0.290558404387213 0	1.34349678206594 0.177803115539161 0	-2.61228040910838 -0.00433509113334664 0	
1.24814746468915 -0.306413606056977 0	1.33956109828923 0.186709989313891 0	-2.61056197138091 -0.00357728209943528 0	
1.25249999095447 -0.321779155265802 0	1.33556445305288 0.195323077283194 0	-2.60883055953448 -0.00281948015444671 0	
1.25691844409744 -0.336693802848096 0	1.33151786513737 0.203665631634198 0	-2.60708616449733 -0.00206168740648306 0	
1.26138795017891 -0.351191391796926 0	1.32743025154782 0.211757959582992 0	-2.6053287770715 -0.00130390563085402 0	
1.26589636004502 -0.365301670963755 0	1.32330889430176 0.219617911607777 0	-2.60355838791351 -0.000546136286712915 0	
1.27043366966121 -0.379050946809535 0	1.31915978821548 0.227261272511768 0	-2.6017749875178 0.000211619467632433 0	
1.27499158208455 -0.392462609956677 0	1.31498790370938 0.234702077365673 0	-2.59997856620269 0.00096936076060782 0	
1.27956317220408 -0.405557564120328 0	1.31079738795404 0.241952868876875 0	-2.59816911409816 0.00172708699434368 0	
1.28414262713328 -0.418354578269886 0	1.30659172062629 0.249024908695985 0	-2.59634662113538 0.00248479783262464 0	
1.28872504303537 -0.430870577913025 0	1.3023738358067 0.255928352196189 0	-2.59451107703747 0.00324249318972408 0	
1.29330626455796 -0.443120887715429 0	1.29814621831233 0.262672394053378 0	-2.59266247131147 0.00400017322004026 0	
1.29788275680063 -0.45511943491952 0	1.29391098051052 0.269265390305096 0	-2.59080079324121 0.00475783830846017 0	
1.30245150237822 -0.466878920953678 0	1.28966992407586 0.275714961323252 0	-2.58892603188109 0.00551548906138488 0	
1.30700991802794 -0.478410967050275 0	1.28542459002148 0.28202807919163 0	-2.58703817605038 0.00627312629835793 0	
1.31155578657099 -0.489726238486669 0	1.28117629951798 0.288211142256755 0	-2.58513721432831 0.00703075104424476 0	
1.31608720103684 -0.500834551134571 0	1.27692618741541 0.29427003906336 0	-2.58322313504949 0.0077883645219162 0	
1.32060251849517 -0.511744963281478 0	1.27267522994072 0.300210203452718 0	-2.58129592629987 0.00854596814539503 0	
1.32510032169157 -0.522465855122849 0	1.26842426771345 0.306036662263117 0	-2.57935557591306 0.00930356351342748 0	
1.32957938699837 -0.533004997878644 0	1.2641740249725 0.311754076804578 0	-2.57740207146698 0.0100611524034477 0	
1.33403865750763 -0.543369614134374 0	1.25992512571793 0.317366779068048 0	-2.57543540028072 0.0108187367659037 0	
1.33847722033607 -0.553566430724944 0	1.25567810732568 0.32287880345998 0	-2.57345554941175 0.0115763187189182 0	
1.34289428739876 -0.563601725252973 0	1.25143343208126 0.328293914717323 0	-2.57146250565325 0.01233390054326 0	
1.34728917905457 -0.5734813671501 0	1.24719149699054 0.333615632548121 0	-2.56945625553172 0.0130914846776048 0	
1.35166131014048 -0.583210854041297 0	1.24295264215731 0.338847253453673 0	-2.56743678530463 0.013849073714063 0	
1.35601017800261 -0.592795344050546 0	1.23871715796299 0.343991870115307 0	-2.56540408095832 0.0146066703939586 0	
1.3603353522031 -0.602239684586646 0	1.23448529124078 0.34905238866906 0	-2.56335812820593 0.015364277603841 0	
1.36463646563975 -0.611548438065689 0	1.23025725060246 0.354031544142186 0	-2.56129891248551 0.016121898371716 0	
1.36891320686083 -0.62072590495857 0	1.22603321104794 0.358931914284499 0	-2.55922641895815 0.0168795358634804 0	
1.37316531339523 -0.629776144495177 0	1.22181331796579 0.363755931993607 0	-2.55714063250628 0.0176371933795495 0	
1.37739256594795 -0.638702993309613 0	1.21759769061462 0.368505896504578 0	-2.55504153773187 0.0183948743516641 0	
1.38159478333547 -0.647510082270845 0	1.21338642516047 0.373183983490754 0	-2.55292911895482 0.0191525823398679 0	
1.38577181805609 -0.656200851709836 0	1.20917959733337 0.377792254202327 0	-2.55080336021143 0.0199103210296436 0	
1.38992355240658 -0.664778565225828 0	1.20497726475612 0.382332663752278 0	-2.54866424525274 0.0206680942292004 0	
1.39404989507027 -0.673246322230359 0	1.20077946899015 0.386807068644832 0	-2.54651175754304 0.0214259058669046 0	
1.39815077811326 -0.681607069367145 0	1.19658623733662 0.391217233629351 0	-2.54434588025836 0.022183759988843 0	
1.4022261543346 -0.68986361092854 0	1.19239758442512 0.395564837952045 0	-2.542166596285 0.0229416607565158 0	
1.40627599492456 -0.698018618374165 0	1.18821351361752 0.399851481068913 0	-2.53997388821797 0.0236996124446496 0	
1.41030028739133 -0.706074639044566 0	1.18403401825075 0.404078687875573 0	-2.53776773835961 0.0244576194391241 0	
1.41429903372259 -0.714034104151481 0	1.17985908273874 0.408247913503012 0	-2.53554812871803 0.0252156862350102 0	
1.41827224875254 -0.721899336116853 0	1.17568868355093 0.412360547722477 0	-2.53331504100574 0.0259738174347093 0	
1.42221995870951 -0.729672555324305 0	1.1715227900826 0.41641791899776 0	-2.53106845663805 0.026732017746194 0	
1.42614219992224 -0.737355886339568 0	1.16736136542989 0.420421298218799 0	-2.52880835673171 0.0274902919813402 0	
1.43003901766604 -0.744951363650066 0	1.1632043670809 0.424371902146691 0	-2.52653472210334 0.0282486450543521 0	
1.43391046513243 -0.752460936968374 0	1.15905174753272 0.428270896596942 0	-2.52424753326791 0.0290070819802706 0	
1.4377566025081 -0.759886476139345 0	1.15490345484283 0.432119399384889 0	-2.52194677043731 0.0297656078735658 0	
1.44157749615048 -0.767229775686602 0	1.15075943312248 0.435918483054651 0	-2.51963241351867 0.0305242279468067 0	
1.44537321784933 -0.774492559030275 0	1.14661962297855 0.439669177410772 0	-2.51730444211289 0.0312829475094075 0	
1.44914384416451 -0.78167648240458 0	1.14248396190955 0.443372471869724 0	-2.51496283551304 0.0320417719664458 0	
1.45288945583181 -0.78878313850103 0	1.13835238466093 0.44702931764671 0	-2.51260757270274 0.03280070681755 0	
1.45661013722927 -0.79581405986036 0	1.13422482354388 0.450640629791664 0	-2.51023863235451 0.0335597576558541 0	
1.46030597589749 -0.802770722034101 0	1.13010120872184 0.454207289086976 0	-2.50785599282814 0.0343189301670167 0	
1.46397706210841 -0.809654546534661 0	1.12598146846792 0.457730143818283 0	-2.50545963216894 0.0350782301283013 0	
1.46762348847711 -0.816466903590966 0	1.12186552939638 0.461210011428531 0	-2.50304952810606 0.0358376634077173 0	
1.47124534961256 -0.8232091147251 0	1.11775331667082 0.46464768006461 0	-2.50062565805069 0.0365972359632169 0	
1.47484274180292 -0.829882455164027 0	1.1136447541915 0.468043910024979 0	-2.49818799909433 0.0373569538419503 0	
1.47841576273219 -0.836488156099103 0	1.10953976476399 0.471399435115927 0	-2.4957365280069 0.0381168231795726 0	
1.48196451122483 -0.843027406804962 0	1.1054382702508 0.474714963923418 0	-2.4932712212349 0.0388768501996031 0	
1.48548908701562 -0.849501356628383 0	1.101340191708 0.477991181006883 0	-2.4907920548995 0.0396370412128356 0	
1.48898959054231 -0.855911116856754 0	1.09724544950808 0.481228748020738 0	-2.48829900479461 0.0403974026167979 0	
1.49246612275868 -0.862257762474945 0	1.0931539634505 0.484428304768884 0	-2.48579204638491 0.0411579408952567 0	
1.49591878496618 -0.868542333818639 0	1.08906565286112 0.48759047019709 0	-2.48327115480381 0.0419186626177715 0	
1.4993476786622 -0.874765838131512 0	1.08498043668154 0.490715843327596 0	-2.48073630485136 0.0426795744392913 0	
1.50275290540347 -0.880929251033017 0	1.08089823354944 0.493805004140096 0	-2.47818747099222 0.0434406830997969 0	
1.5061345666831 -0.887033517902967 0	1.07681896187061 0.496858514402716 0	-2.47562462735342 0.0442019954239826 0	
1.50949276381994 -0.893079555188629 0	1.07274253988352 0.499876918456514 0	-2.4730477477222 0.044963518320982 0	
1.51282759785923 -0.899068251639612 0	1.06866888571724 0.502860743956582 0	-2.47045680554382 0.0457252587841343 0	
1.51613916948324 -0.905000469475295 0	1.06459791744315 0.505810502572669 0	-2.46785177391921 0.0464872238907882 0	
1.51942757893121 -0.91087704548935 0	1.06052955312112 0.508726690652013 0	-2.46523262560265 0.0472494208021457 0	
1.52269292592761 -0.916698792095387 0	1.0564637108407 0.511609789846836 0	-2.46259933299941 0.0480118567631445 0	
1.52593530961791 -0.922466498317575 0	1.0524003087576 0.514460267708762 0	-2.45995186816326 0.0487745391023765 0	
1.52915482851131 -0.928180930729698 0	1.0483392651262 0.517278578252303 0	-2.45729020279406 0.0495374752320423 0	
1.5323515804296 -0.933842834345962 0	1.04428049832809 0.520065162489341 0	-2.45461430823516 0.0503006726479422 0	
1.53552566246182 -0.939452933466483 0	1.04022392689729 0.522820448936405 0	-2.45192415547081 0.0510641389295017 0	
1.53867717092395 -0.945011932480286 0	1.03616946954224 0.525544854096426 0	-2.44921971512361 0.0518278817398333 0	
1.54180620132337 -0.95052051662844 0	1.03211704516507 0.528238782916522 0	-2.44650095745171 0.0525919088258286 0	
1.54491284832752 -0.955979352729636 0	1.0280665728781 0.530902629223273 0	-2.44376785234612 0.0533562280182884 0	
1.54799720573648 -0.961389089870547 0	1.02401797201809 0.533536776136784 0	-2.44102036932784 0.0541208472320815 0	
1.55105936645906 -0.966750360062968 0	1.01997116215834 0.536141596464829 0	-2.43825847754508 0.0548857744663399 0	
1.55409942249207 -0.972063778869723 0	1.01592606311869 0.538717453078207 0	-2.43548214577026 0.0556510178046838 0	
1.55711746490251 -0.977329946001113 0	1.0118825949739 0.541264699268403 0	-2.43269134239711 0.0564165854154782 0	
1.56011358381249 -0.982549445883592 0	1.00784067806025 0.543783679088574 0	-2.42988603543752 0.0571824855521235 0	
1.56308786838638 -0.987722848202268 0	1.00380023298075 0.546274727678777 0	-2.42706619251856 0.0579487265533749 0	
1.56604040682036 -0.992850708418611 0	0.99976118060888 0.54873817157633 0	-2.4242317808792 0.0587153168436936 0	
1.56897128633381 -0.997933568264877 0	0.995723442091182 0.551174329012136 0	-2.42138276736715 0.0594822649336295 0	
1.57188059316256 -1.00297195621635 0	0.991686938848666 0.55358351019374 0	-2.41851911843558 0.0602495794202335 0	
1.57476841255383 -1.0079663879428 0	0.987651592577183 0.555966017575789 0	-2.41564080013968 0.0610172689875005 0	
1.57763482876253 -1.01291736674005 0	0.983617325246864 0.558322146118662 0	-2.41274777813331 0.0617853424068424 0	
1.58047992504904 -1.01782538394296 0	0.979584059100685 0.560652183535805 0	-2.40984001766549 0.0625538085375924 0	
1.58330378367823 -1.02269091932056 0	0.975551716652231 0.56295641053042 0	-2.40691748357681 0.0633226763275377 0	
1.58610648591938 -1.0275144414545 0	0.971520220682763 0.565235101022023 0	-2.40398014029583 0.064091954813483 0	
1.58888811204739 -1.03229640810141 0	0.967489494237612 0.567488522363479 0	-2.4010279518354 0.064861653121845 0	
1.59164874134465 -1.03703726654027 0	0.963459460621969 0.569716935548854 0	-2.39806088178879 0.0656317804692727 0	
1.59438845210392 -1.04173745390537 0	0.959430043396123 0.571920595412691 0	-2.39507889332593 0.0664023461633054 0	
1.59710732163183 -1.04639739750565 0	0.955401166370216 0.574099750821057 0	-2.39208194918946 0.0671733596030511 0	
1.59980542625301 -1.05101751513101 0	0.951372753598514 0.576254644854795 0	-2.38907001169074 0.0679448302799032 0	
1.60248284131502 -1.05559821534646 0	0.94734472937328 0.578385514985358 0	-2.3860430427057 0.0687167677782806 0	
1.6051396411935 -1.06013989777438 0	0.94331701821825 0.580492593243612 0	-2.38300100367077 0.0694891817764047 0	
1.60777589929812 -1.06464295336576 0	0.939289544881763 0.582576106381879 0	-2.37994385557862 0.0702620820471011 0	
1.61039168807869 -1.06910776466072 0	0.93526223432957 0.584636276029636 0	-2.37687155897382 0.0710354784586325 0	
1.6129870790318 -1.07353470603906 0	0.931235011737362 0.586673318843087 0	-2.3737840739484 0.0718093809755673 0	
1.61556214270778 -1.077924143961 0	0.927207802483012 0.588687446648972 0	-2.37068136013745 0.0725837996596707 0	
1.61811694871785 -1.08227643719893 0	0.923180532138582 0.590678866582796 0	-2.36756337671447 0.0733587446708356 0	
1.62065156574166 -1.08659193706022 0	0.919153126462105 0.592647781221808 0	-2.36443008238674 0.0741342262680377 0	
1.62316606153493 -1.09087098760183 0	0.91512551138917 0.594594388712941 0	-2.36128143539051 0.0749102548103253 0	
1.62566050293739 -1.09511392583684 0	0.911097613024296 0.596518882895939 0	-2.35811739348627 0.0756868407578415 0	
1.62813495588083 -1.09932108193344 0	0.907069357632159 0.598421453421875 0	-2.35493791395369 0.0764639946728759 0	
1.63058948539727 -1.1034927794066 0	0.903040671628647 0.600302285867308 0	-2.35174295358663 0.0772417272209505 0	
1.63302415562724 -1.10762933530279 0	0.899011481571765 0.60216156184423 0	-2.34853246868802 0.0780200491719399 0	
1.63543902982826 -1.11173106037812 0	0.894981714152406 0.603999459106008 0	-2.34530641506459 0.0787989714012188 0	
1.63783417038325 -1.11579825927005 0	0.890951296185018 0.605816151649463 0	-2.34206474802162 0.0795785048908512 0	
1.64020963880906 -1.1198312306631 0	0.886920154598128 0.607611809813329 0	-2.33880742235738 0.0803586607308049 0	
1.64256549576508 -1.12383026744863 0	0.882888216424754 0.60938660037313 0	-2.33553439235769 0.0811394501202077 0	
1.6449018010618 -1.12779565687923 0	0.878855408792758 0.611140686632752 0	-2.33224561179024 0.0819208843686332 0	
1.64721861366939 -1.1317276807176 0	0.874821658915071 0.612874228512739 0	-2.32894103389885 0.0827029748974236 0	
1.64951599172638 -1.13562661538042 0	0.870786894079828 0.614587382635526 0	-2.32562061139754 0.0834857332410509 0	
1.65179399254816 -1.13949273207731 0	0.866751041640438 0.6162803024077 0	-2.32228429646465 0.0842691710485081 0	
1.65405267263561 -1.14332629694514 0	0.862714029005563 0.617953138099407 0	-2.31893204073665 0.0850533000847434 0	
1.65629208768362 -1.14712757117771 0	0.85867578362903 0.619606036921041 0	-2.31556379530199 0.0858381322321277 0	
1.65851229258957 -1.15089681115129 0	0.854636232999658 0.621239143097319 0	-2.31217951069474 0.0866236794919627 0	
1.66071334146174 -1.15463426854588 0	0.850595304631038 0.622852597938822 0	-2.30877913688811 0.0874099539860265 0	
1.66289528762783 -1.15834019046257 0	0.846552926051213 0.624446539911131 0	-2.30536262328789 0.0881969679581567 0	
1.66505818364313 -1.16201481953706 0	0.84250902479232 0.62602110470165 0	-2.30192991872576 0.0889847337758767 0	
1.6672020812989 -1.16565839404951 0	0.838463528380155 0.627576425284173 0	-2.2984809714524 0.0897732639320609 0	
1.66932703163052 -1.1692711480309 0	0.834416364323665 0.629112631981341 0	-2.29501572913052 0.0905625710466396 0	
1.6714330849256 -1.17285331136594 0	0.830367460104407 0.630629852524995 0	-2.29153413882778 0.0913526678683487 0	
1.67352029073205 -1.1764051098928 0	0.826316743165915 0.632128212114577 0	-2.28803614700949 0.092143567276522 0	
1.67558869786596 -1.17992676549971 0	0.822264140902998 0.633607833473597 0	-2.28452169953128 0.0929352822829256 0	
1.67763835441959 -1.18341849621845 0	0.818209580651 0.635068836904274 0	-2.28099074163151 0.0937278260336359 0	
1.67966930776903 -1.18688051631508 0	0.814152989674979 0.636511340340393 0	-2.27744321792356 0.0945212118109687 0	
