1 3 0	1 -1 0	-2 -1 0	
0.994420622025813 2.97445504418213 0	0.974139250690988 -0.989136624119504 0	-1.96348952988304 -0.994420502987186 0	
0.994254388783104 2.97369568393701 0	0.973367791571748 -0.988814003406664 0	-1.96240053105196 -0.994254258694402 0	
0.994085673449756 2.97292508823662 0	0.97258475504001 -0.988486627772578 0	-1.96129519888729 -0.994085531461719 0	
0.99391447356645 2.97214325045486 0	0.971790126920649 -0.988154495250903 0	-1.96017351382561 -0.993914318777498 0	
0.993740786634756 2.9713501638634 0	0.970983892800677 -0.987817603847223 0	-1.95903545597688 -0.993740618088508 0	
0.993564610116968 2.97054582163136 0	0.970166038027643 -0.987475951539054 0	-1.95788100512224 -0.993564426799683 0	
0.993385941435941 2.96973021682497 0	0.96933654770805 -0.987129536275872 0	-1.95671014071197 -0.993385742273869 0	
0.993204777974907 2.96890334240732 0	0.968495406705704 -0.986778355979146 0	-1.95552284186326 -0.993204561831549 0	
0.993021117077305 2.96806519123798 0	0.96764259964005 -0.986422408542329 0	-1.954319087358 -0.993020882750585 0	
0.99283495604661 2.96721575607275 0	0.966778110884465 -0.986061691830895 0	-1.95309885564049 -0.992834702265942 0	
0.992646292146128 2.9663550295632 0	0.965901924564529 -0.985696203682379 0	-1.95186212481521 -0.992646017569415 0	
0.992455122598844 2.96548300425642 0	0.965014024556243 -0.985325941906376 0	-1.9506088726444 -0.992454825809333 0	
0.992261444587211 2.96459967259471 0	0.964114394484239 -0.984950904284587 0	-1.94933907654566 -0.99226112409029 0	
0.99206525525295 2.96370502691517 0	0.963203017719924 -0.984571088570824 0	-1.94805271358957 -0.992064909472828 0	
0.991866551696889 2.96279905944935 0	0.962279877379615 -0.984186492491066 0	-1.94674976049714 -0.991866178973155 0	
0.991665330978747 2.96188176232292 0	0.961344956322623 -0.98379711374347 0	-1.9454301936373 -0.991664929562828 0	
0.991461590116926 2.96095312755529 0	0.960398237149319 -0.983402949998408 0	-1.94409398902431 -0.991461158168441 0	
0.991255326088317 2.96001314705927 0	0.95943970219914 -0.983003998898491 0	-1.94274112231512 -0.991254861671315 0	
0.991046535828093 2.95906181264064 0	0.958469333548554 -0.982600258058624 0	-1.94137156880672 -0.991046036907173 0	
0.990835216229499 2.9580991159978 0	0.957487113009027 -0.982191725066021 0	-1.93998530343336 -0.990834680665801 0	
0.990621364143636 2.95712504872141 0	0.956493022124906 -0.981778397480247 0	-1.93858230076382 -0.990620789690731 0	
0.990404976379251 2.95613960229396 0	0.955487042171284 -0.981360272833272 0	-1.93716253499851 -0.990404360678874 0	
0.990186049702504 2.95514276808942 0	0.954469154151833 -0.980937348629487 0	-1.93572597996663 -0.990185390280195 0	
0.989964580836753 2.95413453737275 0	0.953439338796567 -0.980509622345768 0	-1.93427260912323 -0.989963875097343 0	
0.989740566462333 2.95311490129958 0	0.952397576559588 -0.980077091431506 0	-1.93280239554619 -0.989739811685296 0	
0.989514003216314 2.95208385091577 0	0.95134384761679 -0.979639753308669 0	-1.93131531193319 -0.989513196550986 0	
0.989284887692267 2.95104137715698 0	0.95027813186351 -0.979197605371826 0	-1.92981133059856 -0.989284026152932 0	
0.989053216440047 2.94998747084821 0	0.949200408912135 -0.978750644988224 0	-1.92829042347017 -0.989052296900859 0	
0.98881898596552 2.94892212270346 0	0.948110658089681 -0.978298869497821 0	-1.9267525620862 -0.988818005155306 0	
0.988582192730345 2.94784532332521 0	0.947008858435295 -0.977842276213345 0	-1.92519771759184 -0.988581147227221 0	
0.988342833151711 2.94675706320403 0	0.945894988697757 -0.977380862420359 0	-1.92362586073593 -0.988341719377569 0	
0.988100903602098 2.94565733271808 0	0.944769027332888 -0.97691462537731 0	-1.92203696186764 -0.988099717816918 0	
0.987856400409007 2.9445461221327 0	0.943630952500937 -0.976443562315592 0	-1.92043099093289 -0.987855138705022 0	
0.987609319854703 2.9434234215999 0	0.942480742063928 -0.975967670439616 0	-1.91880791747089 -0.987607978150399 0	
0.987359658175962 2.94228922115795 0	0.941318373582936 -0.975486946926868 0	-1.91716771061061 -0.987358232209874 0	
0.987107411563802 2.94114351073087 0	0.940143824315315 -0.975001388927984 0	-1.91551033906696 -0.987105896888176 0	
0.986852576163204 2.93998628012798 0	0.938957071211898 -0.974510993566816 0	-1.91383577113723 -0.986850968137453 0	
0.986595148072834 2.93881751904331 0	0.937758090914116 -0.974015757940512 0	-1.91214397469723 -0.986593441856832 0	
0.986335123344781 2.93763721705526 0	0.936546859751085 -0.973515679119589 0	-1.9104349171974 -0.986333313891955 0	
0.986072497984258 2.936445363626 0	0.935323353736626 -0.973010754148015 0	-1.90870856565894 -0.98607058003448 0	
0.985807267949331 2.93524194810101 0	0.934087548566262 -0.972500980043292 0	-1.90696488666978 -0.985805236021638 0	
0.985539429150608 2.93402695970851 0	0.932839419614096 -0.971986353796543 0	-1.90520384638053 -0.985537277535702 0	
0.985268977450957 2.93280038755902 0	0.9315789419297 -0.971466872372594 0	-1.90342541050031 -0.985266700203506 0	
0.98499590866521 2.93156222064475 0	0.930306090234905 -0.970942532710078 0	-1.9016295442925 -0.98499349959593 0	
0.984720218559849 2.9303124478391 0	0.929020838920538 -0.970413331721536 0	-1.89981621257052 -0.984717671227382 0	
0.984441902852706 2.9290510578962 0	0.927723162043124 -0.969879266293483 0	-1.8979853796934 -0.98443921055526 0	
